Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
vintage-dish-blue-no-3,Vintage Dish | Blue No. 3,Beautiful blue vintage dishes that have been hand cut and set into sterling silver. On a 18 inch sterling silver chain.,Goldie Lew,Necklaces,,TRUE,Size,18 inch,,,,,,45,shopify,0,deny,manual,56,80,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/003.jpg?v=1576687659,1,,FALSE,,,,,,,,,,,,,,,,,lb,,33
vintage-dish-blue-no-2,Vintage Dish | Blue No. 2,Beautiful blue vintage dishes that have been hand cut and set into sterling silver. On a 16 inch silver and pearl chain.,Goldie Lew,Necklaces,,TRUE,Size,16 inch,,,,,,45,shopify,0,deny,manual,80,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/002.jpg?v=1576687554,1,,FALSE,,,,,,,,,,,,,,,,,lb,,33
vintage-dish-blue-no-1,Vintage Dish | Blue No. 1,<p>Beautiful blue vintage dishes that have been hand cut and set into sterling silver. On a 14 inch sterling silver chain.</p>,Goldie Lew,Necklaces,,TRUE,Size,14 Inch,,,,,,45,shopify,0,deny,manual,49,70,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/001.jpg?v=1576686786,1,,FALSE,,,,,,,,,,,,,,,,,lb,,33
holiday-no-28-necklace-set,Holiday No. 28 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Buffalo Necklace18 inches<br>- Beaded Necklace 26 inches <br>- Connie Necklace 28 Inches </p>
<meta charset=""utf-8"">
<p><span>This Necklace set comes Gift Wrapped.</span></p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,375,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/28.jpg?v=1576863352,1,,FALSE,,,,,,,,,,,,,,,,,lb,,180
holiday-no-28-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/1_1.jpg?v=1576863352,2,,,,,,,,,,,,,,,,,,,,,
holiday-no-27-necklace-set,Holiday No. 27 | Necklace Set,"<p>Hand picked by Jazlyn. These necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Adjustable raw crystal necklace 17 inches<br>- Vintage dish charm 18 inches<br>- silver charm necklace 15 inches</p>
<meta charset=""utf-8"">
<p><span> </span></p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,94.5,135,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/27.jpg?v=1576374255,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
holiday-no-26-necklace-set,Holiday No. 26 | Necklace Set,"<p>Hand picked by Jazlyn. These necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage dish charm 16 inches<br>- Pearl Choker 16 inches<br></p>
<meta charset=""utf-8"">
<p><span>This Necklace set comes Gift Wrapped.</span></p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,105,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/image_51418951-bf65-4c8d-8b2a-f0b2a104cecd.jpg?v=1576691412,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
holiday-no-26-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/26.jpg?v=1576691412,2,,,,,,,,,,,,,,,,,,,,,
holiday-no-25-necklace-set,Holiday No. 25 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage dish charm 18 inches<br>- Silver Arrow Choker 14 inches<br>- Navajo Beads with Turquoise charm 16 inches </p>
<meta charset=""utf-8"">
<p><span> </span></p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,170,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/25.jpg?v=1576374064,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
holiday-no-25-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/image_1d8210d6-c4df-4115-abb5-111df3343077.jpg?v=1576691654,2,,,,,,,,,,,,,,,,,,,,,
holiday-no-24-necklace-set,Holiday No. 24 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Gold and Turquoise Crescent Necklace 17 inches<br>- Gold Filled Double Strand Necklace 18 inches<br>- Pearl Choker 16 inches</p>
<p>This Necklace set comes Gift Wrapped.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,124,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/24.jpg?v=1576373747,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
holiday-no-23-necklace-set,Holiday No. 23 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Turquoise and Gold Necklace 20 inches<br>- Gold Filled Mama Necklace 16 inches plus 2 inch extender<br>- Gold Filled Mama Necklace 16 inches plus 2 inch extender </p>
<meta charset=""utf-8"">
<p><span> </span></p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,210,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/image_e14be064-b88a-485a-93e2-fa954493ef91.jpg?v=1576691371,1,,FALSE,,,,,,,,,,,,,,,,,lb,,90
